Node	Weight_1	Weight_2	Weight_3	Query_1	Query_2	Query_3
Dctn4	0.001000180290719435	0.0010027932723534186	0.0012760120138164876	False	False	False
Cd79a	0.001000533967247387	0.0010109824893973069	0.009307773365940259	False	False	False
Znfx1	0.03446063262739443	0.0026577300697952443	0.0010578664054485315	True	False	False
Noc3l	0.001260106090426948	0.02552052910072052	0.011734049131246854	False	False	False
Snx9	0.0010000224939216765	0.001004078164195617	0.0039254443240841225	False	False	False
Ash2l	0.0010001182424881512	0.0036259816752753173	0.003213645508186882	False	False	False
Naa25	0.0010001873526503432	0.0010034424243290378	0.003787530679234646	False	False	False
Zfhx3	0.0010000744596260147	0.0011329803687377402	0.0026603504071255465	False	False	False
Ninl	0.0010002051555478065	0.0010030370146714073	0.0041959138188278795	False	False	False
Myo1d	0.0010002684726137388	0.002441994199857831	0.025752622300566155	False	False	False
Syt7	0.0010001876453589458	0.0010005404066351163	0.006919756819168166	False	False	False
Taf4b	0.0010000759350065709	0.0010110302862136294	0.003487693895997091	False	False	False
Cenpk	0.001000427391179726	0.0010233352086994995	0.007375725777168538	False	False	False
Ifrd1	0.0010003769099888892	0.001678718173094714	0.001809691672230359	False	False	False
Prpf3	0.0010001315225257013	0.0012371504476297278	0.0011014821040952036	False	False	False
Sobp	0.0010000308761021546	0.0012811520196587458	0.0015073254761346676	False	False	False
Tfec	0.001000942954568955	0.0010284881829974997	0.005381925951586311	False	False	False
Gpr37	0.001000374812075527	0.0016991865359912294	0.008182416534630099	False	False	False
Dgke	0.0010001921505059716	0.0010066523927313204	0.0013539894400237478	False	False	False
Lsm11	0.0010001541603217154	0.001002964412091015	0.004885096471960105	False	False	False
Mak	0.0010003576584917122	0.0010329141647710904	0.05934165836396442	False	False	False
Tle1	0.0010000853892742573	0.001261735148469916	0.0014247484427911729	False	False	False
Ikzf5	0.0010000771366959107	0.0010042916245090994	0.0010703049431760034	False	False	False
Cbl	0.0010003980994468518	0.002214503628584563	0.001051442312349731	False	False	False
Nab2	0.008768955113447417	0.0010031772739190362	0.02492610272083368	False	False	False
Atf2	0.0010002523916109902	0.0010033552642786205	0.0011339259223617398	False	False	False
Plcb2	0.001000949429347512	0.0010415465171181616	0.029028979526214704	False	False	False
Ptpra	0.0010000389372907114	0.0010004431061004663	0.012291969907319362	False	False	False
Gstm5	0.001000050002747283	0.0019025528984825497	0.0035368578747534633	False	False	False
Tlr4	0.0010004965585083572	0.003647936040297718	0.0035010878927561337	False	False	False
