source	target	Weight_1>2	Weight_2>3
Actn4	Actn4	0.001996851523029126	0.009856068660038802
Ccr1	Ccr1	0.029001939142405758	0.13837573201700815
Dcaf8	Dcaf8	0.0020011241956000595	0.0020119594872355304
Hey1	Hey1	0.0019980033764040897	0.0023242923758534264
Rbbp5	Rbbp5	0.002003558136388871	0.002155512841620208
Ubr2	Ubr2	0.006264534488887004	0.04430499697910802
Eif2a	Eif2a	0.0019962476320440265	0.0020142035342326867
Arl15	Arl15	0.0019995366321491157	0.011782965139636064
Dffb	Dffb	0.002009532128707614	0.005119961979441935
Ldah	Ldah	0.0019991838376673603	0.007146646164333416
Numb	Numb	0.00199973786380054	0.0026488299374779123
Lypd1	Lypd1	0.0020145439469948065	0.08202735571015381
Cdyl2	Cdyl2	0.0020019636709931866	0.0021617367003088908
Irf4	Irf4	0.0020279556317798217	0.07209454740178074
Lman1	Lman1	0.00199650725976145	0.0020011226013130516
Syce2	Syce2	0.002018454992579952	0.002025961226961086
Wdr70	Wdr70	0.0020027240680543707	0.003632199744591852
Ltbp2	Ltbp2	0.16509114979958084	0.1769345496412617
Rogdi	Rogdi	0.0019983283705367226	0.002522051042099667
Tfcp2	Tfcp2	0.003219825056681339	0.010106368040918095
Inhba	Inhba	0.0020430081698025134	0.03365594707852599
Soga1	Soga1	0.0020044095468765245	0.0034746273072061126
Isl1	Isl1	0.0019961766781987998	0.002020681030454787
Ninl	Ninl	0.0019992372139240096	0.005172061539845796
Kcnq1	Kcnq1	0.0020111433037062394	0.05207575779692586
Denr	Denr	0.001996348716526511	0.0019966751026460074
Nek1	Nek1	0.0020011705094246453	0.003980085811679603
Syne1	Syne1	0.0021972526768508863	0.02626092165722395
Dlg2	Dlg2	0.0020009083254288423	0.005493796311053237
Hells	Hells	0.001999796711763099	0.003882033593170017
Smu1	Smu1	0.0019991940082379365	0.007246836604359564
Vdac2	Vdac2	0.0019973839260613345	0.011822497687547187
Birc5	Birc5	0.0020059015094911928	0.0332268792529904
