source	target	score
SMC1A	SMC3	0.650822556462205
PDX1	CAPAM	0.650790288802776
HDAC2	KDM1A	0.6506980866730739
SQSTM	KEAP1	0.650389114300047
ILK	CHIP	0.650389114300047
GNAO	DLG4	0.650079995077529
ARF3	DLG4	0.650079995077529
PP2BA	DLG4	0.650079995077529
MKS1	B9D1	0.650079995077529
IQEC2	DLG4	0.650079995077529
CBL	ITSN1	0.650079995077529
KCNA3	DLG4	0.650079995077529
1433E	DLG4	0.650079995077529
GDIA	DLG4	0.650079995077529
EAA2	DLG4	0.650079995077529
KCAB1	DLG4	0.650079995077529
PCNA	CDN1A	0.650079995077529
PO5F1	SMCA5	0.650079995077529
GRIK5	DLG4	0.650079995077529
DLG4	SPTB2	0.650079995077529
TNAP3	RNF11	0.650079995077529
DLG4	BEGIN	0.650079995077529
DLG4	KCC2D	0.650079995077529
DLG4	UB2V1	0.650079995077529
DLG4	DLGP1	0.650079995077529
GRIK2	DLG4	0.650079995077529
PRDX1	DLG4	0.650079995077529
NFL	DLG4	0.650079995077529
ABR	DLG4	0.650079995077529
DLG4	DLGP3	0.650079995077529
CAD23	USH1C	0.650079995077529
CCG2	DLG4	0.650079995077529
DLG4	NLGN2	0.650079995077529
DLG4	SEP11	0.650079995077529
ANS1A	DLG4	0.650079995077529
LST8	MTOR	0.650079995077529
DLG4	KCJ16	0.650079995077529
DLG4	KCJ10	0.650079995077529
DLG4	SEPT5	0.650079995077529
GNAI1	DLG4	0.650079995077529
GBB1	DLG4	0.650079995077529
CNTN1	DLG4	0.650079995077529
DLG4	IQEC1	0.650079995077529
DLG4	GRM3	0.650079995077529
DLG4	GRIA3	0.650079995077529
SYT1	DLG4	0.650079995077529
PP2BB	DLG4	0.650079995077529
SHAN1	DLG4	0.650079995077529
DLGP4	DLG4	0.650079995077529
DLG4	DLGP2	0.650079995077529
DLG4	BASP1	0.650079995077529
DLG4	TBB6	0.650079995077529
DLG4	DEST	0.650079995077529
DLG4	GRIA4	0.650079995077529
PHB2	DLG4	0.650079995077529
CTRO	DLG4	0.650079995077529
CLOCK	SIR1	0.649489029930452
HS90B	CHRD1	0.648578445525289
TF65	NFKB2	0.647425671409468
TNR5	TRAF6	0.647235660327828
TNR11	TRAF6	0.647235660327828
EP300	KAT2B	0.646558582032595
TF65	IKBB	0.646433291221917
CTNB1	ITF2	0.646433291221917
STAM2	UBC	0.6463915222216329
SOCS3	CUL5	0.6463915222216329
VP26A	VPS35	0.646238346123162
ATG3	ATG7	0.646238346123162
BAX	B2CL1	0.646238346123162
B2L11	B2CL1	0.646238346123162
MALT1	BCL10	0.646238346123162
TRAF3	TCAM1	0.646238346123162
PGFRB	CBL	0.646238346123162
P85A	GRB2	0.6462197768561411
IF4E	4EBP1	0.646085133709173
CDK5	CD5R1	0.646085133709173
HDAC1	CEBPB	0.646085133709173
TNR5	TRAF3	0.646085133709173
EPS8	ABI1	0.646085133709173
KDM1A	RCOR1	0.646085133709173
DYN1	PROF2	0.645801827188496
CBP	TF65	0.645801827188496
TEC	DOK1	0.6456856820466129
HXA9	MEIS1	0.645025580888076
NR2C1	NRIP1	0.6439596260636221
FBW1A	NF2L2	0.643358376023815
GEMI	SCMH1	0.643358376023815
TRRAP	KAT2A	0.6432091417260799
KTNB1	KTNA1	0.64302721559822
LRRK2	DNM1L	0.642966562116569
GRIA2	GRIP1	0.642966562116569
A2AWT7	RPA49	0.641817731135562
RB	E2F1	0.641817731135562
DAB1	VLDLR	0.641817731135562
NFKB1	RELB	0.641817731135562
CTNB1	CNBP1	0.6415886532662499
BCL6B	BCL6	0.641322071973201
MID51	DNM1L	0.641008580285787
PTN11	GRB2	0.6405684975082679
MYOD1	FBX32	0.6403764517844169
SRC	FAK1	0.6403764517844169
LCK	CBL	0.6403764517844169
NANOG	MBD3	0.6403764517844169
TAB3	M3K7	0.6403764517844169
PTN11	GAB1	0.6403764517844169
TCAM1	TLR4	0.6403764517844169
SKP1	SKP2	0.6403764517844169
P53	S4R1Y1	0.6403764517844169
CBL	SRBS1	0.6403764517844169
PO5F1	Q6P5E3	0.6403764517844169
D3Z656	SYGP1	0.6403764517844169
FBXW7	CUL1	0.6403764517844169
SMUF2	SMAD7	0.6403764517844169
TRI25	DDX58	0.6403764517844169
GLI1	SUFU	0.6403764517844169
GLI3	SUFU	0.6403764517844169
SQSTM	CYLD	0.6403764517844169
MP2K4	M3K1	0.6403764517844169
G5E884	RAC1	0.6403764517844169
TGFR2	TGFR1	0.6403764517844169
TRAF6	CYLD	0.6403764517844169
P53	MK08	0.6403764517844169
MYD88	IRAK2	0.6403764517844169
CXA1	ZO1	0.6403764517844169
CLOCK	PER1	0.6403764517844169
MYB	FBXW7	0.6403764517844169
EPOR	JAK2	0.6403764517844169
HS90B	HDAC6	0.6403764517844169
IL1R1	MYD88	0.6403764517844169
MDM2	DLG4	0.6403764517844169
SHC1	SOS1	0.6403764517844169
HDAC1	MYOD1	0.6403764517844169
RIPK1	RIPK3	0.6403764517844169
SHC1	EGFR	0.6403764517844169
NMDE2	ACTN2	0.6403764517844169
RP3A	RAB8A	0.6403764517844169
RP3A	RB27A	0.6403764517844169
E2F1	NSE3	0.640151544558005
UB2L3	ARI2	0.6400624969485401
SMRC1	WWP2	0.6392041927271751
SNP25	DNJC5	0.639077460093845
CDK1	PO5F1	0.639077460093845
DOK1	SHIP1	0.639077460093845
ATRX	MECP2	0.639077460093845
AGTRA	ATRAP	0.6390680714916059
RIF1	NANOG	0.6383447344499681
SYGP1	EAA1	0.638262876877545
SYGP1	CNRP1	0.638262876877545
SYGP1	GLNA	0.638262876877545
SYGP1	DPYL2	0.638262876877545
SYGP1	CCG2	0.638262876877545
SYGP1	DEND	0.638262876877545
SYGP1	CACB2	0.638262876877545
SYGP1	ANK2	0.638262876877545
SYGP1	AGRB2	0.638262876877545
SYGP1	KCJ10	0.638262876877545
TFE2	UBC9	0.636542221694681
TLN1	AB1IP	0.636457382705237
NEMO	TNAP3	0.636315959252948
MYOD1	SMAD3	0.636108481314312
CLOCK	CRY2	0.635915088671436
PAK1	CDC42	0.635915088671436
CSF1	CSF1R	0.635542288128807
ATF2	MK14	0.6353864965515079
JARD2	EED	0.635155099168699
NOTC1	ITCH	0.634408385820995
CD22	GRB2	0.634408385820995
BECN1	BAKOR	0.6337270705911179
PP1A	NEB2	0.633154009700641
MRE11	NBN	0.633154009700641
PER2	KC1D	0.633154009700641
LMNA	SUN2	0.633154009700641
CBL	SHIP1	0.633154009700641
PI3R6	PK3CG	0.633154009700641
CUL4A	DDB1	0.633154009700641
GATA1	TAL1	0.633154009700641
CD3Z	ZAP70	0.633154009700641
CCND3	CDK6	0.633154009700641
CCND1	CDK6	0.633154009700641
CCND1	CDN1B	0.633154009700641
TAL1	LDB1	0.633154009700641
FBW1A	CUL1	0.633154009700641
TNR1A	TRAF2	0.633154009700641
DLG4	NRX1A	0.633154009700641
A16L1	RBCC1	0.633139794990016
RIC8B	GNAL	0.632978672626495
CSN5	CDN1B	0.632978672626495
DAXX	TNR6	0.631498218524803
PO5F1	EWS	0.631498218524803
RASF5	RASH	0.631498218524803
1433E	HDAC7	0.630813760154295
PER1	CRY2	0.630590199733551
DLG4	GUAD	0.6304244601853579
CBP	BMAL1	0.629337747159663
PER1	TIM	0.629337747159663
PAX3	LEF1	0.629337747159663
BCAR1	VINC	0.629337747159663
H31	CBX1	0.629337747159663
AP2A2	EPS15	0.629337747159663
UBC	MYSM1	0.629337747159663
CCND3	FBXL2	0.629337747159663
ACK1	UBC	0.629337747159663
IGF1R	GRB10	0.6286413922102171
TRAF6	IRAK3	0.6286413922102171
TRAF6	Q8N7N6	0.6286413922102171
CBL	CD2AP	0.6286413922102171
PER1	PER2	0.6286413922102171
CYFP1	WASF1	0.628436154275039
SYGP1	RAB10	0.628436154275039
DOK1	NCK1	0.628436154275039
SYGP1	CYFP1	0.628436154275039
AGAP2	HOME1	0.628436154275039
SIR1	BMAL1	0.628436154275039
EED	AEBP2	0.628436154275039
TNIK	AGAP2	0.628436154275039
AGAP2	CYFP1	0.628436154275039
AGAP2	CNKR2	0.628436154275039
CYFP2	ABI1	0.628436154275039
CRY1	FXL21	0.628436154275039
NCKP1	WASF1	0.628436154275039
NECD	HIF1A	0.628135335735859
MEIS1	HXA13	0.628135335735859
MTG8R	TAL1	0.627872598542093
MTG16	TAL1	0.627872598542093
PO5F1	RYBP	0.627788977284565
CBX1	TIF1A	0.626083061582087
CBX5	TIF1A	0.626083061582087
P85A	TIE2	0.6256948137870411
1433Z	MLF1	0.6256948137870411
MK10	JIP3	0.625498201436263
MYC	MAX	0.62497999967999
UBC	VPS36	0.624624687312309
UBC	UCHL1	0.624624687312309
UBC	ATX3	0.624624687312309
MP2K1	KSR1	0.6244661720221519
CEBPA	CDK2	0.6244661720221519
PEBB	Q3UM65	0.6244661720221519
HDAC1	SP1	0.6244661720221519
M3K4	AXIN1	0.6244661720221519
SRC	PAXI	0.6244661720221519
SOX2	SIX1	0.6244661720221519
JDP2	Q9JM08	0.6244661720221519
KCAB2	KCNA2	0.6244661720221519
HNF1B	KAT2B	0.6244661720221519
SOX2	SALL4	0.6244661720221519
F8VPR5	HNF1B	0.6244661720221519
LY86	CD180	0.6244661720221519
I17RA	Q8N7N6	0.6244661720221519
PER1	UBP2	0.6244661720221519
KLC1	JIP3	0.6244661720221519
SOX2	EYA1	0.6244661720221519
STAM2	UBP8	0.6244661720221519
LCK	HCLS1	0.6244661720221519
FBW1A	IKBA	0.6244661720221519
ABL1	SHIP1	0.6244661720221519
CDK1	CCNA2	0.6244661720221519
OPTN	TBK1	0.6244661720221519
NUP62	NXF1	0.6244661720221519
P53	SKIL	0.6244661720221519
CDK1	HSP72	0.6244661720221519
FYN	SLAF1	0.62437168417538
GRIA2	GRIA3	0.6237739975343629
LAT	PLCG1	0.6237739975343629
PSN1	NICA	0.6237739975343629
LAT	GRB2	0.6237739975343629
AT2A2	PPLA	0.6237739975343629
MDM2	RL5	0.6237739975343629
CCND3	CDK4	0.6237739975343629
GRB2	FRS2	0.6237739975343629
KIF3A	KIFA3	0.6237739975343629
KIF3A	KIF3B	0.6237739975343629
CCND2	CDK4	0.6237739975343629
E9PXB7	SCNNA	0.6236505431730179
NHRF1	Q9D2V6	0.6224981927684611
Q9D2V6	NHRF2	0.6224981927684611
Q9D2V6	NHRF3	0.6224981927684611
P53	ARF	0.622404209497333
FSCN1	DLG4	0.622404209497333
UBA1	DLG4	0.622404209497333
ARPC4	DLG4	0.622404209497333
CLUS	DLG4	0.622404209497333
GLNA	DLG4	0.622404209497333
PRRT1	DLG4	0.622404209497333
DLG4	PLPP3	0.622404209497333
CAZA2	DLG4	0.622404209497333
CBX1	CAF1A	0.6213260013873549
PRIO	GRB2	0.6213260013873549
B1AXJ3	DAB1	0.621184352668352
NR0B1	SALL4	0.621074874713186
FADD	ATG5	0.621074874713186
NACC1	SALL4	0.621074874713186
NR0B1	RIF1	0.621074874713186
ERR2	EP400	0.621074874713186
RING2	CBX8	0.621074874713186
MYD88	CBLB	0.621074874713186
TF2L1	ERR2	0.621074874713186
BCOR	RING2	0.621074874713186
PO5F1	NR0B1	0.621074874713186
PP2AA	IGBP1	0.6198903128780121
GRAP2	BLNK	0.6198903128780121
UBX2A	CHIP	0.6198903128780121
LYN	HCLS1	0.6198903128780121
NCK2	EFNB1	0.6198903128780121
A16L1	ATG5	0.6198903128780121
TRI18	IGBP1	0.6198903128780121
MK14	MAPK2	0.619377106454541
