source	target	score
YDR388W	YPL249C	0.7591877238206629
YDR159W	YOL072W	0.7591798205958851
YAL016W	YGL190C	0.7591798205958851
YPL031C	YIL050W	0.7591719172888308
YLR113W	YLR248W	0.7591165918355359
YEL032W	YPR019W	0.7590968317678579
YJL154C	YHR012W	0.7590968317678579
YDL014W	YOR310C	0.759084975480348
YBR247C	YDL060W	0.7590770711857919
YGL150C	YNL059C	0.7590770711857919
YOR326W	YGL106W	0.7590652145896291
YOR117W	YIL007C	0.759045453184459
YDR477W	YGL035C	0.7590335960944019
YDR388W	YMR192W	0.7590335960944019
YNL118C	YOL149W	0.759025691264795
YCR093W	YPR072W	0.758994071123088
YGR274C	YMR005W	0.758958496888993
YLR274W	YLR103C	0.758946638440411
YEL032W	YLR103C	0.758946638440411
YGL122C	YBR017C	0.7589347798065391
YLR447C	YOR270C	0.7589150150049742
YPR019W	YPR135W	0.7588992027930981
YPL101W	YLR384C	0.7588399040640921
YBR088C	YDR419W	0.7588280437622221
YKL022C	YDL008W	0.7588201367913221
YBR081C	YOL148C	0.758816183274975
YDR448W	YDR167W	0.758816183274975
YHR089C	YLR175W	0.7587924617443159
YBL023C	YIL150C	0.7587924617443159
YGR167W	YGL206C	0.7587726932355959
YJL203W	YDL043C	0.7587608318831429
YBR195C	YPR018W	0.7587529242118279
YMR223W	YGL066W	0.758745016458098
YGL150C	YLR052W	0.7587371086219521
YFR002W	YGR119C	0.7587212927023991
YKL057C	YGL092W	0.7587094305463721
YLL036C	YDR416W	0.7586817514610459
YDR211W	YLR291C	0.7586817514610459
YJL112W	YLL001W	0.7586540713658629
YOR244W	YPR023C	0.7586303447661451
YNR052C	YNL288W	0.758582889340381
YJL041W	YGL172W	0.758551250740515
YCR088W	YNL020C	0.758547295822746
YPL240C	YJR032W	0.7585433408843559
YEL032W	YBR202W	0.7585433408843559
YJL081C	YOR244W	0.7585275209245871
YFL009W	YDR054C	0.7585235658830909
YBR060C	YNL261W	0.758440505247445
YCL017C	YER048W-A	0.758436549752186
YGL116W	YJL013C	0.7584207275648521
YGR264C	YGL105W	0.7584167719664431
YGL099W	YPR016C	0.758412816347403
YDR176W	YGL112C	0.7583969936649271
YNL317W	YAL043C	0.7583851264364301
YNL207W	YOR056C	0.7583851264364301
YGR274C	YDR167W	0.758373259022231
YDL029W	YLR370C	0.758373259022231
YNL330C	YNL097C	0.758373259022231
YAL005C	YNL007C	0.7583693031762301
YOR164C	YOL111C	0.758329743581247
YPL153C	YBR136W	0.7583020506368159
YPL031C	YOL001W	0.75828226934302
YDR145W	YDR167W	0.758278313022336
YNL222W	YAL043C	0.7582545746647359
YDL116W	YGL100W	0.75824666171372
YBR081C	YGL066W	0.75824666171372
YDR101C	YPR016C	0.758234792132358
YPR181C	YNL049C	0.7581991822733649
YDL047W	YFR040W	0.7581477428575508
YER174C	YGR262C	0.7580844280157719
YHR114W	YOR181W	0.758072555894223
YFL005W	YNL272C	0.7580646410432289
YPL135W	YDL120W	0.7580646410432289
YMR076C	YDL003W	0.7580448535541942
YPR165W	YBL105C	0.758036938413954
YEL019C	YOL034W	0.758036938413954
YFR024C-A	YOR181W	0.75803298081284
YGL237C	YOR358W	0.75803298081284
YJL154C	YOR069W	0.7580290231910649
YDR359C	YOR244W	0.758017150201762
YER133W	YAL043C	0.758017150201762
YOL021C	YOR001W	0.758017150201762
YBR175W	YLR015W	0.7580013192600659
YGR252W	YPL254W	0.7580013192600659
YGR195W	YGR095C	0.7580013192600659
YDL140C	YJL140W	0.757981530117984
YGR173W	YDR152W	0.7579775722275691
YGL120C	YNL224C	0.7579063266657691
YOR123C	YLR418C	0.757894451754332
YJR090C	YDL132W	0.757882576656833
YBR198C	YMR236W	0.7578707013732621
