source	target	Weight	edge type
YAL005C	YBL091C	1.0	PPI
YAL005C	YBL099W	1.0	PPI
YAL005C	YBL101C	1.0	PPI
YAL005C	YBL103C	1.0	PPI
YAL005C	YBL104C	1.0	PPI
YAL005C	YBL105C	1.0	PPI
YAL005C	YBL113C	1.0	PPI
YAL005C	YBR001C	1.0	PPI
YAL005C	YBR002C	1.0	PPI
YAL005C	YBR003W	1.0	PPI
YAL005C	YBR006W	1.0	PPI
YAL005C	YBR011C	1.0	PPI
YAL005C	YBR015C	1.0	PPI
YAL005C	YBR017C	1.0	PPI
YAL005C	YBR019C	1.0	PPI
YAL005C	YBR020W	1.0	PPI
YAL005C	YBR021W	1.0	PPI
YAL005C	YBR023C	1.0	PPI
YAL005C	YBR025C	1.0	PPI
YAL005C	YBR026C	1.0	PPI
YAL005C	YBR028C	1.0	PPI
YAL005C	YBR030W	1.0	PPI
YAL005C	YBR031W	1.0	PPI
YAL005C	YBR033W	1.0	PPI
YAL005C	YBR034C	1.0	PPI
YAL005C	YBR039W	1.0	PPI
YAL005C	YBR042C	1.0	PPI
YAL005C	YBR046C	1.0	PPI
YAL005C	YBR047W	1.0	PPI
YAL005C	YBR048W	1.0	PPI
YAL005C	YBR049C	1.0	PPI
YAL005C	YBR054W	1.0	PPI
YAL005C	YBR055C	1.0	PPI
YAL005C	YBR056W	1.0	PPI
YAL005C	YBR057C	1.0	PPI
YAL005C	YBR058C	1.0	PPI
YAL005C	YBR059C	1.0	PPI
YAL005C	YBR060C	1.0	PPI
YAL005C	YBR065C	1.0	PPI
YAL005C	YBR066C	1.0	PPI
YAL005C	YBR067C	1.0	PPI
YAL005C	YBR068C	1.0	PPI
YAL005C	YBR070C	1.0	PPI
YAL005C	YBR072W	1.0	PPI
YAL005C	YBR073W	1.0	PPI
YAL005C	YBR074W	1.0	PPI
YAL005C	YBR078W	1.0	PPI
YAL005C	YBR079C	1.0	PPI
YAL005C	YBR081C	1.0	PPI
YAL005C	YBR083W	1.0	PPI
YAL005C	YBR084W	1.0	PPI
YAL005C	YBR086C	1.0	PPI
YAL005C	YBR087W	1.0	PPI
YAL005C	YBR090C	1.0	PPI
YAL005C	YBR095C	1.0	PPI
YAL005C	YBR101C	1.0	PPI
YAL005C	YBR103W	1.0	PPI
YAL005C	YBR105C	1.0	PPI
YAL005C	YBR106W	1.0	PPI
YAL005C	YBR107C	1.0	PPI
YAL005C	YBR108W	1.0	PPI
YAL005C	YBR112C	1.0	PPI
YAL005C	YBR114W	1.0	PPI
YAL005C	YBR115C	1.0	PPI
YAL005C	YBR117C	1.0	PPI
YAL005C	YBR118W	1.0	PPI
YAL005C	YBR123C	1.0	PPI
YAL005C	YBR125C	1.0	PPI
YAL005C	YBR126C	1.0	PPI
YAL005C	YBR127C	1.0	PPI
YAL005C	YBR128C	1.0	PPI
YAL005C	YBR130C	1.0	PPI
YAL005C	YBR133C	1.0	PPI
YAL005C	YBR135W	1.0	PPI
YAL005C	YBR136W	1.0	PPI
YAL005C	YBR138C	1.0	PPI
YAL005C	YBR139W	1.0	PPI
YAL005C	YBR142W	1.0	PPI
YAL005C	YBR143C	1.0	PPI
YAL005C	YBR148W	1.0	PPI
YAL005C	YBR149W	1.0	PPI
YAL005C	YBR150C	1.0	PPI
YAL005C	YBR152W	1.0	PPI
YAL005C	YBR155W	1.0	PPI
YAL005C	YBR156C	1.0	PPI
YAL005C	YBR158W	1.0	PPI
YAL005C	YBR159W	1.0	PPI
YAL005C	YBR160W	1.0	PPI
YAL005C	YBR162C	1.0	PPI
YAL005C	YBR164C	1.0	PPI
YAL005C	YBR166C	1.0	PPI
YAL005C	YBR169C	1.0	PPI
YAL005C	YBR172C	1.0	PPI
YAL005C	YBR175W	1.0	PPI
YAL005C	YBR177C	1.0	PPI
YAL005C	YBR185C	1.0	PPI
YAL005C	YBR187W	1.0	PPI
YAL005C	YBR189W	1.0	PPI
YAL005C	YBR190W	1.0	PPI
YAL005C	YBR191W	1.0	PPI
YAL005C	YBR193C	1.0	PPI
YAL005C	YBR194W	1.0	PPI
YAL005C	YBR195C	1.0	PPI
YAL005C	YBR196C	1.0	PPI
YAL005C	YBR197C	1.0	PPI
YAL005C	YBR198C	1.0	PPI
YAL005C	YBR207W	1.0	PPI
YAL005C	YBR211C	1.0	PPI
YAL005C	YBR212W	1.0	PPI
YAL005C	YBR214W	1.0	PPI
YAL005C	YBR215W	1.0	PPI
YAL005C	YBR217W	1.0	PPI
YAL005C	YBR218C	1.0	PPI
YAL005C	YBR221C	1.0	PPI
YAL005C	YBR223C	1.0	PPI
YAL005C	YBR227C	1.0	PPI
YAL005C	YBR229C	1.0	PPI
YAL005C	YBR230C	1.0	PPI
YAL005C	YBR231C	1.0	PPI
YAL005C	YBR234C	1.0	PPI
YAL005C	YBR237W	1.0	PPI
YAL005C	YBR238C	1.0	PPI
YAL005C	YBR241C	1.0	PPI
YAL005C	YBR245C	1.0	PPI
YAL005C	YBR247C	1.0	PPI
YAL005C	YBR249C	1.0	PPI
YAL005C	YBR251W	1.0	PPI
YAL005C	YBR253W	1.0	PPI
YAL005C	YBR255W	1.0	PPI
YAL005C	YBR260C	1.0	PPI
YAL005C	YBR263W	1.0	PPI
YAL005C	YBR265W	1.0	PPI
YAL005C	YBR267W	1.0	PPI
YAL005C	YBR272C	1.0	PPI
YAL005C	YBR274W	1.0	PPI
YAL005C	YBR275C	1.0	PPI
YAL005C	YBR276C	1.0	PPI
YAL005C	YBR279W	1.0	PPI
YAL005C	YBR281C	1.0	PPI
YAL005C	YBR284W	1.0	PPI
YAL005C	YBR286W	1.0	PPI
YAL005C	YBR287W	1.0	PPI
YAL005C	YBR288C	1.0	PPI
YAL005C	YBR290W	1.0	PPI
YAL005C	YBR295W	1.0	PPI
YAL005C	YBR299W	1.0	PPI
YAL005C	YCL009C	1.0	PPI
YAL005C	YCL011C	1.0	PPI
YAL005C	YCL014W	1.0	PPI
YAL005C	YCL017C	1.0	PPI
YAL005C	YCL019W	1.0	PPI
YAL005C	YCL024W	1.0	PPI
YAL005C	YCL025C	1.0	PPI
YAL005C	YCL027W	1.0	PPI
YAL005C	YCL028W	1.0	PPI
YAL005C	YCL029C	1.0	PPI
YAL005C	YCL030C	1.0	PPI
YAL005C	YCL031C	1.0	PPI
YAL005C	YCL032W	1.0	PPI
YAL005C	YCL035C	1.0	PPI
YAL005C	YCL037C	1.0	PPI
YAL005C	YCL039W	1.0	PPI
YAL005C	YCL040W	1.0	PPI
YAL005C	YCL043C	1.0	PPI
YAL005C	YCL044C	1.0	PPI
YAL005C	YCL050C	1.0	PPI
YAL005C	YCL055W	1.0	PPI
YAL005C	YCL059C	1.0	PPI
YAL005C	YCL063W	1.0	PPI
YAL005C	YCR002C	1.0	PPI
YAL005C	YCR004C	1.0	PPI
YAL005C	YCR005C	1.0	PPI
YAL005C	YCR008W	1.0	PPI
YAL005C	YCR009C	1.0	PPI
YAL005C	YCR011C	1.0	PPI
YAL005C	YCR012W	1.0	PPI
YAL005C	YCR014C	1.0	PPI
YAL005C	YCR016W	1.0	PPI
YAL005C	YCR024C-A	1.0	PPI
YAL005C	YCR032W	1.0	PPI
YAL005C	YCR033W	1.0	PPI
YAL005C	YCR034W	1.0	PPI
YAL005C	YCR035C	1.0	PPI
YAL005C	YCR036W	1.0	PPI
YAL005C	YCR043C	1.0	PPI
YAL005C	YCR044C	1.0	PPI
YAL005C	YCR048W	1.0	PPI
YAL005C	YCR052W	1.0	PPI
YAL005C	YCR053W	1.0	PPI
YAL005C	YCR057C	1.0	PPI
YAL005C	YCR059C	1.0	PPI
YAL005C	YCR060W	1.0	PPI
YAL005C	YCR061W	1.0	PPI
YAL005C	YCR065W	1.0	PPI
YAL005C	YCR066W	1.0	PPI
YAL005C	YCR069W	1.0	PPI
YAL005C	YCR073C	1.0	PPI
YAL005C	YCR075C	1.0	PPI
YAL005C	YCR077C	1.0	PPI
YAL005C	YCR079W	1.0	PPI
YAL005C	YCR081W	1.0	PPI
YAL005C	YCR082W	1.0	PPI
YAL005C	YCR084C	1.0	PPI
YAL005C	YCR087C-A	1.0	PPI
YAL005C	YCR088W	1.0	PPI
YAL005C	YCR089W	1.0	PPI
YAL005C	YCR091W	1.0	PPI
YAL005C	YCR095C	1.0	PPI
YAL005C	YCR105W	1.0	PPI
YAL005C	YDL001W	1.0	PPI
YAL005C	YDL003W	1.0	PPI
YAL005C	YDL005C	1.0	PPI
YAL005C	YDL007W	1.0	PPI
YAL005C	YDL017W	1.0	PPI
YAL005C	YDL018C	1.0	PPI
YAL005C	YDL019C	1.0	PPI
