source	target	Weight_1>2	Weight_2>3	Weight_3>4	Weight_4>5	Weight_5>6	Weight_6>7	Weight_7>8	Weight_8>9	Weight_9>10	Weight_10>11	Weight_11>12	Weight_12>13	Weight_13>14	Weight_14>15	Weight_15>16
YPR120C	YPR120C	0.34900246280796765	0.2638604089284886	0.16973565021241244	0.13117280603651033	0.20673279189286534	0.3259039940712602	0.41726481481214905	0.4487695891623344	0.4205974279243765	0.2510483152504428	0.09246047086969096	0.182390222645412	0.212500372976418	0.19818420411105425	0.17808390117110826
YGR108W	YGR108W	0.5223000035217339	0.4279207942899931	0.27008244418431193	0.28707394943241593	0.42402533497297984	0.4674585203697074	0.4827416832891285	0.4883267101206655	0.4298967754417547	0.2875409241942071	0.13504500048953688	0.10537378301939293	0.18679723752763447	0.2744180836724614	0.3211002249354709
YDL008W	YDL008W	0.02536918960093283	0.02593390554397576	0.044640248215686434	0.03347987062269365	0.027590351451389744	0.07246170034309732	0.08375193684421066	0.044801859064391436	0.03760146846561347	0.03024556194921042	0.021557227757235932	0.04019328117156207	0.04174440492916809	0.05257992848365179	0.07280791553708475
YER111C	YER111C	0.3266794551983742	0.15851866920254473	0.1345217901871088	0.2584536276199746	0.3481891630961945	0.4533563266621234	0.5155733400412634	0.4488823302234098	0.2458673503191096	0.17803949625956245	0.2809969583207992	0.3297480249635099	0.3183541592204855	0.2631939210607823	0.2141450366586928
YBR112C	YBR112C	0.0927509486834156	0.1578529673097265	0.18561112020930345	0.19122380775304024	0.1882373058434843	0.13219558500140424	0.08014995511074338	0.1243486407682026	0.17117614814503626	0.167682061671298	0.15580036629867974	0.15872311827624686	0.123483894295461	0.05972440919128388	0.0695669365656647
YBL084C	YBL084C	0.05912687981265347	0.03816226819178682	0.0490230713592664	0.07673961083444705	0.10114915848779042	0.07357517894597138	0.058741315763813015	0.0533054222805839	0.04053220760560911	0.06228386011819091	0.05371510472920884	0.0758351919752503	0.07943141243249917	0.047546808096138905	0.07766780450442734
YAL040C	YAL040C	0.2341482440762067	0.2900038193472332	0.2504735915449847	0.12892824803178193	0.05370159490876746	0.0732205270401324	0.16264502592033184	0.26765301018754484	0.3333249548066921	0.2855484648623734	0.1650168928163027	0.10460202645040044	0.05193458726309096	0.03435148516486967	0.08656018514621606
YAL024C	YAL024C	0.13615875116580806	0.20403485208106625	0.23858868656978674	0.22334768437726266	0.2193413495612423	0.1757401164495355	0.06742611686826529	0.04869556773413467	0.14439761810920987	0.2089105890019938	0.19822908734114775	0.2320350714971764	0.20538098801595225	0.13722458287118253	0.12767829870455735
YHR215W	YHR215W	0.2727047459026232	0.22167506729578434	0.2074150768783505	0.2101276209196854	0.23578616902261754	0.1944744653506114	0.11056239817176602	0.15427729428564527	0.2444298254579581	0.2626393521578031	0.2655137086178951	0.23942918843026995	0.21277698895944602	0.1813421944230575	0.11774167255361702
YIL046W	YIL046W	0.03774227988670527	0.11003225426664053	0.15989869378021246	0.1307418350051362	0.12408863405975128	0.0978457499198672	0.05357978925886571	0.07459769031562287	0.08243504561206176	0.05104680651292589	0.0506040417285171	0.0640456852821555	0.05803975514861085	0.07043339364517567	0.10978548278718528
YDL017W	YDL017W	0.15374596267020155	0.1107793530798697	0.1194622460783963	0.10081120227883733	0.036773963827180456	0.09324724128636253	0.21637940392374316	0.25613245265952234	0.19040616445217048	0.1224392012102515	0.0669344044169085	0.01625721638082293	0.019995231717062915	0.048203075215918316	0.06397992656010053
YDL028C	YDL028C	0.15028364050640725	0.12213029880657104	0.18112152786306804	0.2297162815493897	0.2302609896830448	0.2017171026223386	0.1913110284595047	0.15757482538851947	0.07504825383242017	0.02827662875873748	0.1344734431831278	0.2180059545786814	0.18377082947210205	0.1445536388020331	0.11264110707563077
YOR026W	YOR026W	0.22441856234589386	0.19561850440594294	0.1241089217891598	0.03957630366318718	0.025826055956438696	0.06775276812154436	0.1227187448769004	0.1539592456183876	0.18244577428018446	0.17016269483644	0.135707962939728	0.09219948047877102	0.0380732461948422	0.033812795867927285	0.021250342232230438
YLR103C	YLR103C	0.40804731316346793	0.3623521376201281	0.2589244548393784	0.07743947607963987	0.12818419954922294	0.3244603201720005	0.4769246864373891	0.5143303814595593	0.4754583083378735	0.33836044712037217	0.1280941207310844	0.1503835694933771	0.20221993354750248	0.18077427249313016	0.17453983873812245
YOR195W	YOR195W	0.2827649342889578	0.2992438321491415	0.28692826652773473	0.2015210526177297	0.1294682788926575	0.10479037103844546	0.1830626035056015	0.3206722597359515	0.3894942430470212	0.3657103128695451	0.23361216528681603	0.0990220994938031	0.07788468764158386	0.03881512552190552	0.013397509473968323
YHR166C	YHR166C	0.028446785142724283	0.03975060877286801	0.03665878386237871	0.060775342165589524	0.08657249783910531	0.0810298117866165	0.04251099052357795	0.0538332950955252	0.09117420129904256	0.0681956866221374	0.05655331122204685	0.060190910218884376	0.0559920252968724	0.04386561029406722	0.040884863073531064
YBR093C	YBR093C	0.3574705644098114	0.3927528937204891	0.4009578075461864	0.343545815120724	0.29424584699295303	0.16298087072479858	0.1560042271027909	0.3174366251168917	0.3969718088918161	0.4200658443117741	0.3706338760279772	0.2821443092369816	0.2365273417162691	0.20151481272916744	0.10534833060383243
YIL106W	YIL106W	0.3838929679799993	0.3733210225148186	0.2593740096902836	0.12017505531639615	0.24604572769470665	0.36606250413907343	0.4089532864209462	0.4116648987443451	0.3967939085333368	0.3043084299005137	0.12869777168982194	0.06346835082216705	0.1335732205485027	0.21023324738919305	0.22386226642244708
YJR046W	YJR046W	0.02160198524067412	0.04467949273296167	0.05278300050462803	0.0660894531853032	0.044831278580098034	0.004720640327917284	0.05642504810278599	0.08323026358550259	0.06318584653368138	0.051934617472839985	0.030056063354580536	0.0276789891173486	0.028285468141544836	0.017810781857090473	0.022414272907816786
YPR119W	YPR119W	0.4867008285971589	0.3759935185215017	0.19584838042696007	0.1990261853131756	0.33905717827407417	0.3978675921303199	0.4577604779421728	0.4897241554736013	0.4480295909511087	0.3133850572505701	0.13212128578857973	0.11591888346850004	0.19858839680427728	0.2657963644081097	0.2817541452479673
YKL022C	YKL022C	0.06692619529967019	0.057143417825159935	0.03239131845004787	0.0345272240057327	0.09074068781350243	0.12724430713902246	0.0964869275562446	0.05356904608813954	0.03803440411164623	0.03523547060311506	0.037086016986346386	0.05520949469890013	0.0506167845986949	0.0197885299305021	0.03204817935291493
YGL086W	YGL086W	0.05777992797898208	0.06053095005594074	0.054183807445802236	0.031245435096100237	0.04363375690109171	0.06354586836103418	0.13460567765390208	0.16679742690842053	0.08080265097750394	0.040181106399769836	0.03573176721882312	0.014078645953505409	0.022445496020544502	0.04449797601177687	0.07616905182054673
