Node	Core	Weight_1	Weight_2	Weight_3	Weight_4	Weight_5	Weight_6	Weight_7	Weight_8	Weight_9	Weight_10	Weight_11	Weight_12	Weight_13	Weight_14	Weight_15	Weight_16	Query_1	Query_2	Query_3	Query_4	Query_5	Query_6	Query_7	Query_8	Query_9	Query_10	Query_11	Query_12	Query_13	Query_14	Query_15	Query_16
YMR199W	True	0.2819984751481313	0.21076825479961944	0.21303971024634066	0.186446313065409	0.09867988704665356	0.0029852551124523057	0.13621430697606926	0.38972566698720185	0.4918536490900805	0.5442673476075978	0.14892124910002255	0.04080891522367094	0.057417559472330335	0.10888219402372942	0.08120549318288654	0.10322192947748274	True	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False
YHR152W	True	0.10309184096351157	0.15342549207367445	0.3665030512701999	0.4266839711245073	0.3394760145564012	0.17839059765991974	0.010559635367005802	0.29262180515578096	0.3380997865457661	0.4058429312314087	0.22302527666974306	0.2246828432591052	0.15819654419756307	0.08199280977503115	0.02939637317086998	0.006734351468619528	False	False	True	True	True	False	False	True	True	True	False	False	False	False	False	False
YBR202W	True	0.04025552253470058	0.1350566573576379	0.3719742492740109	0.4991864762253415	0.3985742133576437	0.18441802725794815	0.03674680483898704	0.19894345203405486	0.28463624878985005	0.3205318150275313	0.26184115148236764	0.23328777438069395	0.1790582777837036	0.10604786177760177	0.04060098021923498	0.009042486989255137	False	False	True	True	True	False	False	False	True	True	True	False	False	False	False	False
YOR368W	True	0.0989086153846182	0.07111481888638826	0.09813775011386053	0.013946690398728142	0.0023718780173053195	0.044511493180502085	0.03259167083599687	0.05608579944148377	0.009881786338918178	0.0945314191467873	0.035640261472538334	0.04855285536280099	0.009867082100883192	0.0010004839205154919	0.015216947010173528	0.0044579522333012146	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YLR182W	True	0.017529106429481647	0.01389763621427874	0.08447693977845334	0.08031632904300055	0.09516170726272613	0.08938627216775759	0.031193168769832868	0.047179045447253695	0.01713573596188146	0.09060289690625416	0.05277698353716823	0.08924621538414103	0.08363321981855107	0.012519942443890856	0.04124004350595279	0.020970742885955927	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YOR083W	True	0.09067361640982144	0.08820975977192715	0.19046588851509155	0.18893661279990956	0.17453053821027062	0.2027055210240996	0.14262714319828673	0.028846806325762118	0.07435012531237198	0.1283973672035116	0.20104607900992874	0.14129564029859634	0.018509638377259437	0.26967493738385234	0.15552018642497972	0.05206393482755863	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False
YDR260C	True	0.008944091874430871	0.053320570794482026	0.05678724956282026	0.02767376802822536	0.008643357398754334	0.027711925432828424	0.038607572801634106	0.12655515595886718	0.03635996883735165	0.010499760313782452	0.05304719402564596	0.0049850722801426045	0.033204784193775136	0.048106981398821885	0.03516969291049436	0.009435938034495087	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YDL127W	True	0.1126362368726239	0.07910453107116333	0.018783067851883908	0.06417825535203082	0.02488995640070761	0.12835663332589886	0.2964211821722644	0.4671219841145139	0.3329603927392503	0.06047839905344851	0.0921422655022262	0.10676565212433588	0.14197893647614485	0.14820789598466438	0.13885252756507116	0.12671602106905894	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False
YOR026W	True	0.15620662505311803	0.13314862695586582	0.11004257706539708	0.031651892574222754	0.009555236960519685	0.01695548642142683	0.05572133771354452	0.08416395467159893	0.09781220288468732	0.12534825368264327	0.07970723584238013	0.07730909326937854	0.024254497515298186	0.015325695097323648	0.019670417170900168	0.002041306622389321	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YDR118W	True	0.004770085140411594	0.026277496337121842	0.030470286366859656	0.01569363332619138	0.03276631859339305	0.021349093954001704	0.015887157765491298	0.023404636110690158	0.02902895759951292	0.008545161806144102	0.002015400429480584	0.0328054097717851	0.02070479238476401	0.012827102904412493	0.004920936722718442	0.030255003233992363	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YFL009W	True	0.028701073785358997	0.020786005033676825	0.023108131687609	0.010918377874458159	0.0250420056666946	0.022914414413415903	0.016743277962785057	0.030567415171456808	0.0034665734835613573	0.038389816501129055	0.034033666230373086	0.006670490772161958	0.025056713014174337	0.011288668458007908	0.035231278948319504	0.014498665378630312	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YBR093C	True	0.2812166239520579	0.2751323067104892	0.3716437580233756	0.2976877391517592	0.2256478157642372	0.1912761877846516	0.003439637725726322	0.18140041966848386	0.28366500399456296	0.3746322609513785	0.34970142450515196	0.2391988386498649	0.15383880508196454	0.15596579518751605	0.096405589957312	0.021347871202533404	True	True	True	True	False	False	False	False	True	True	True	False	False	False	False	False
YMR001C	True	0.5241177773969465	0.33244527688135617	0.17837188095822684	0.04150963438500909	0.2112392659450208	0.3259551095804825	0.36003141705690417	0.4425240476670384	0.3909613426122315	0.2591971607057945	0.1601060630185367	0.014740392364064159	0.07635213835208436	0.14826443908322712	0.2251411647372912	0.21207460429437425	True	True	False	False	False	True	True	True	True	True	False	False	False	False	False	False
YMR055C	True	0.06509645213190779	0.053130368159579375	0.14713186724660704	0.17235963531077175	0.15685718399392576	0.1664381580483146	0.09900857901975338	0.08232563347891605	0.06794805827747373	0.19027003522458666	0.08942091642745023	0.13704950412426228	0.1383539976804382	0.054495302446732334	0.07705211355794259	0.03658638325461538	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YDR113C	True	0.21094174150620199	0.24135420344523134	0.3479054719199423	0.3083262708393271	0.2316712376851253	0.1528530278286325	0.008456834132719703	0.1897723353435079	0.4396697246828664	0.5923497222843275	0.4560957853071124	0.19752163834421926	0.1267276598860582	0.022752742502215286	0.06912615321459815	0.103742681741388	False	False	True	True	False	False	False	False	True	True	True	False	False	False	False	False
YOR195W	True	0.2057208599549532	0.1885221822597138	0.23850771184295136	0.16387574140452574	0.0885054306706998	0.06021778728162245	0.05683900885673295	0.16724499597784884	0.3047985269486682	0.3331876650095839	0.243379036750978	0.06144334521473256	0.048461791679490315	0.036001275572245035	0.0043813048787648716	0.009198135273291816	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False
YPL031C	True	0.06438451118575908	0.05744570378267645	0.058792195188096835	0.020013273020126142	0.010207161535189607	0.03253694277724042	0.05773513363406608	0.012762067815193932	0.0015427816969859846	0.024210388079071343	0.03990665669082272	0.004946686473936369	0.01803715428368834	0.0027576716783206468	0.01825796828313749	0.02248083509157523	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YML065W	True	0.04677642584348727	0.011573182478796587	0.07232837894644116	0.10330210962038147	0.11930272121347273	0.10229584975731734	0.0533919536897478	0.11028389354534203	0.056826277082060235	0.029793761495900614	0.03609677440910376	0.053739824398957116	0.10197146257695193	0.0886083883887551	0.0983393304585756	0.06367778968715403	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YFL008W	True	0.25140611761014386	0.16616860110582846	0.1264614470464719	0.025796324032390038	0.023894507129819397	0.10331860193869052	0.21838810943563344	0.30290821324413314	0.2533236778359799	0.22077213293046846	0.03244368664061605	0.05356896963589493	0.09370052239046596	0.07936635574598264	0.0573924315768168	0.062431273576487874	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False
YKL101W	True	0.2743726848659707	0.23886462884168225	0.21777917226294194	0.13957268435729106	0.07137347776031175	0.02734945826650742	0.1594324461331406	0.3322620434015756	0.3868684527704371	0.4455630348744203	0.3088556670275266	0.0358303168599981	0.056514866935761125	0.0936245670234607	0.09962888225018164	0.1317978813072958	True	False	False	False	False	False	False	True	True	True	True	False	False	False	False	False
YDL008W	True	0.018803630700372213	0.007225907182331595	0.01939847250974543	0.027327641011692327	0.007311958935660555	0.02106121845163737	0.05706137807068519	0.034346113210385436	0.012557096861305432	0.026513482772335638	0.004675404602084765	0.017356775887963673	0.02451965650524035	0.0190432562957879	0.03645475357801335	0.042070415863289	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
