source	target	Weight	edge type
Q0130	YPL078C	0.303099406136007	PPI
Q0250	Q0275	0.306648821944582	PPI
Q0250	YBL030C	0.31697633981103396	PPI
Q0250	YBL045C	0.3630413199623425	PPI
Q0250	YBR024W	0.2576276382688785	PPI
Q0250	YBR037C	0.3214832810582845	PPI
Q0250	YBR185C	0.229153332945432	PPI
Q0250	YBR255C-A	0.229153332945432	PPI
Q0250	YCL017C	0.229153332945432	PPI
Q0250	YDL067C	0.213220543100331	PPI
Q0250	YDR119W-A	0.213220543100331	PPI
Q0250	YDR231C	0.326786436377032	PPI
Q0250	YER154W	0.31223308601107597	PPI
Q0250	YGL187C	0.34523578899065505	PPI
Q0250	YGR033C	0.229153332945432	PPI
Q0250	YGR062C	0.2889939445732385	PPI
Q0250	YGR112W	0.279712128803883	PPI
Q0250	YGR132C	0.23934285032145855	PPI
Q0250	YHR051W	0.303099406136007	PPI
Q0250	YHR076W	0.229153332945432	PPI
Q0250	YIL051C	0.2576276382688785	PPI
Q0250	YIL157C	0.229153332945432	PPI
Q0250	YIR024C	0.229153332945432	PPI
Q0250	YJL003W	0.2563849644577465	PPI
Q0250	YJL019W	0.229153332945432	PPI
Q0250	YJL062W-A	0.229153332945432	PPI
Q0250	YJR045C	0.229153332945432	PPI
Q0250	YJR121W	0.229153332945432	PPI
Q0250	YKL192C	0.229153332945432	PPI
Q0250	YKR016W	0.229153332945432	PPI
Q0250	YLR203C	0.323757625392824	PPI
Q0250	YLR395C	0.26415620378859145	PPI
Q0250	YML030W	0.33599962797598454	PPI
Q0250	YML129C	0.3138944886422825	PPI
Q0250	YMR128W	0.229153332945432	PPI
Q0250	YMR244C-A	0.303099406136007	PPI
Q0250	YMR256C	0.279876758592063	PPI
Q0250	YNL026W	0.229153332945432	PPI
Q0250	YNL052W	0.213220543100331	PPI
Q0250	YNL305C	0.246659684585868	PPI
Q0250	YNR017W	0.229153332945432	PPI
Q0250	YNR018W	0.229153332945432	PPI
Q0250	YOR065W	0.229153332945432	PPI
Q0250	YOR090C	0.229153332945432	PPI
Q0250	YPR191W	0.23934285032145855	PPI
Q0275	YDR231C	0.279712128803883	PPI
Q0275	YER154W	0.31223308601107597	PPI
Q0275	YGL187C	0.284626509657832	PPI
Q0275	YGL191W	0.26415620378859145	PPI
Q0275	YGR062C	0.218489130164409	PPI
Q0275	YHR001W-A	0.229153332945432	PPI
Q0275	YHR051W	0.284626509657832	PPI
Q0275	YIR024C	0.229153332945432	PPI
Q0275	YJL003W	0.2563849644577465	PPI
Q0275	YJL062W-A	0.229153332945432	PPI
Q0275	YJR121W	0.229153332945432	PPI
Q0275	YLR038C	0.213220543100331	PPI
Q0275	YLR203C	0.30655688705361056	PPI
Q0275	YLR395C	0.273259492058373	PPI
Q0275	YML030W	0.34423266114649853	PPI
Q0275	YML129C	0.2924512779934465	PPI
Q0275	YMR256C	0.279876758592063	PPI
Q0275	YNL052W	0.2398483896131055	PPI
Q0275	YNR018W	0.229153332945432	PPI
