	25min	30min	35min	40min	45min	50min	55min	60min	65min	70min	75min	80min	85min	90min	95min	100min
YJL013C	4.47956807905972	4.88722707789559	5.07492403107982	5.16802905561443	5.35123180755491	5.27433973234992	5.15226203651718	5.08044803780186	5.04170615444853	4.67498969572145	4.08978196343928	4.51645785426513	4.34728688443997	4.38602214703334	4.34928078623946	4.72696552356161
YJL012C	8.19950948610905	8.29150636768657	8.41102278678644	8.55301665448528	8.49598678308379	8.49623625953978	8.46815215635974	8.47489667534279	8.55714735251723	8.50294977248278	8.58243292881947	8.58477951185201	8.63825584152744	8.47735773366441	8.5178909547318	8.60444388284933
YJL011C	5.07412907113287	5.26537215923604	5.15463121515769	5.32526195797605	5.20064063441269	5.08032102423202	5.03864542376396	5.05141635744109	4.825191423142	4.9999824544741	4.83391563776773	5.04546175694608	4.88573480830417	4.96574211106984	4.85597539742431	4.80419234354272
YJL010C	6.52544171336292	6.53240134660144	6.71176680901902	6.74328107708985	6.79701577932394	6.72401105873267	6.62587954650223	6.50597966696149	6.45090704277037	6.34005540679846	6.47462689664486	6.46072917939739	6.32842779575938	6.28135391112579	6.1763375604649	6.28549462407098
YJL009W	5.81708373892518	5.66288202691624	5.59715048772403	5.87864509394079	5.59863587396933	5.61548905073374	5.62605599896454	5.82507461633801	5.79050620975865	5.73274681589189	5.73802406162573	5.81139735882195	5.87513775748707	5.91770587685445	5.9204648715196	6.01084544190769
YJL008C	7.99004872455463	7.92746455689939	7.86775487768184	7.98956903374004	7.95136674406124	7.97583597232911	7.8989754749268	7.84118228084767	7.83603003986335	7.8862192388677	7.98788961775085	7.97544500144282	7.94178632250321	8.02970514288224	8.00986578769445	7.97244428784748
YJL006C	4.95360739081109	5.15883712463749	5.26905838646089	5.40964334585785	5.53267756307493	5.36122873930442	5.27329382158117	5.07521281885764	4.99054695889082	4.86003985507997	4.67101793028273	4.79109067419057	4.69106984603506	4.7568248332379	4.60135069083262	4.8740870420511
YJL005W	5.28623996842757	5.22920195706122	5.39630930650399	5.82551394173018	5.90063970659902	5.77966402347039	5.78482625282509	6.00516052738894	6.04029790648414	6.09107089951824	6.13075772033811	6.13514074525846	6.18661624791558	6.06733603053583	5.95226998396133	6.04760788194206
YJL004C	5.44794243571456	5.49024565909751	5.48708517453708	5.50953129666462	5.56776802747981	5.58848701081155	5.66571657323438	5.69800482487274	5.53937027146013	5.50394409613407	5.45754142738866	5.53428758420993	5.55142938172428	5.19419890588183	5.47655052049932	5.42347644399243
YJL003W	3.65564606859852	3.66566236667339	3.33843647705735	3.64313347224134	3.85156051852217	3.48997352907937	3.53141782038435	3.44848270890926	3.40529119107928	3.50582405404396	2.92547961229564	3.4268666605765	3.44695417201827	2.83212099437857	3.27227300546198	3.55845802525565
YJL002C	9.02908456848329	9.05511339794437	9.04331719139717	9.02673542516885	9.05294933502884	8.83871819029347	8.82737529938495	8.80088659390337	8.72626912847658	8.637632017188	8.55782404351157	8.63319300443676	8.66716598474436	8.82217353333903	8.94540359501665	8.86349306294679
YJL001W	7.42537922589011	7.09328820208991	6.78336892544504	6.92628414025704	6.84786332357227	6.91698515075111	6.92911762784277	6.8092769686275	6.80368409928826	6.91582535602866	7.07578331475939	7.21352546101167	7.26932345190623	7.24504886316872	7.24994813863195	7.25902576572116
YJR001W	8.33549074548372	8.36027374957307	8.29206178595337	8.44004566385364	8.43243921942402	8.29231875714392	8.22291331433621	8.08434472281904	7.86347095228685	7.75766477459433	7.56545346479273	7.6220693666695	7.80093064854936	7.85934243154363	8.03672862658043	8.07950457926423
YJR002W	6.42108365745831	6.52122637210125	6.76806336496086	6.82090488504021	6.78439182631906	6.83155723428391	6.7569946962591	6.72904582749902	6.62479068557956	6.61304086469774	6.6527896704665	6.62736840332709	6.47813951456021	6.53775006905617	6.42859619397078	6.41189090469061
YJR003C	5.4564158181078	5.74842799516387	6.10543698408712	6.38077556286339	6.50278809538263	6.60683654171781	6.59584443283304	6.50792380310293	6.55814408282165	6.38948533713288	6.35160604191609	6.05784175057317	5.65845177926149	5.6359859624304	5.58076880944932	5.66541654780155
YJR004C	5.71484901013256	5.66964561807778	5.71827152659132	5.78546913010191	5.85733377298232	5.79493025208791	5.73706117160951	5.74656524339301	5.89075111788593	5.70512436454955	5.73536638820722	5.58054003936154	5.58618644827404	5.83058236390868	5.90907000677577	5.73280844192803
YJR005W	6.23415543319323	6.1988808022998	6.18352039600192	6.27012580431923	6.26265541047012	6.34053623072229	6.32137500339487	6.2571065592754	6.3192863087683	6.17266644995719	6.4505236125293	6.03666754226923	6.02666892709885	6.17640128205014	6.06950270210606	6.11843644010706
YJR005C-A	0.21449237304454	0.0350152020090469	-0.070478037019585	-0.623144975047573	-0.766907815501828	-1.61450882961243	-1.21418079714844	-0.684998566605516	-1.31548171953523	-0.901939382625277	-1.22949482750848	-0.360591629297651	-1.02063498073746	-0.958031496178123	-1.15380040510728	-0.696227547958168
