	0min	5min	10min	15min	20min	25min	30min	35min	40min	45min	50min	55min	60min	65min	70min	75min	80min	85min	90min	95min	100min	105min	110min	115min	120min	125min	130min	135min	140min	145min	150min	155min	160min	165min	170min	175min
YLR144C	6.10438707543883	6.26878880046941	6.01779203549122	5.89413392522967	5.83822104949066	5.69300584325386	5.73800649357208	5.63668302653181	5.98035494501329	6.03363487525748	6.0085184026601	6.06240412309044	6.01621378795843	5.90103830911335	5.95729948633119	5.72987153868716	5.73199293413434	5.74359390448066	5.85275239369213	5.80589500709975	5.74919595381764	5.87734250008272	5.9091241023941	5.97134314416849	6.02059207630511	5.90939093524644	5.99867676094982	5.83818317787962	5.89713157380522	5.69398389504221	5.70283314752833	5.64271916174316	5.74999271267929	5.70488285970093	5.7935182096098	5.70586848464714
YLR145W	4.04971374225414	3.90577221890995	3.75130503545694	3.71888476921327	3.78745065015334	3.9017837517742	3.86144774626452	3.88570043920522	3.77882707126938	3.79435297090658	3.77517614062803	3.88058079427262	4.11262416532234	3.93294588867751	3.97875623402671	4.46168251561704	4.01538043768077	4.06106426687673	4.0440962416112	3.92284252992795	3.96248112567813	4.06378393426891	3.99013847428364	4.11934911445163	4.09622311120692	3.93595051133694	3.97495023802189	4.19543617001439	3.98783953137661	4.18619518136181	4.21756139592909	4.07922268587753	3.96981071302309	4.21897773060171	4.10529211501128	4.22979800132154
YLR146C	6.26781740761403	5.89625544550633	5.66403404091833	5.7846743776478	5.90190123298749	5.95100656348342	6.01014057817979	6.02257889247524	6.13375393850749	6.07658185215209	6.0791120235771	6.16021244609264	6.03240645284018	5.95211518161716	6.00027847357156	5.907979713329	5.87910184255247	5.84760881726267	5.83602893512895	5.83204720433193	5.87105012932961	5.81705548328072	5.86336405091311	5.71712742016632	5.68685971589191	5.74202588201937	5.78028574534185	5.73693166596351	5.78732237742427	5.85341355827264	5.85734822596151	5.75736435014799	5.89485334357465	5.68637949357489	5.82316184390869	5.91752498878049
YLR146W-A	3.66671430450778	3.21041303447625	2.9989330247067	2.83280912672856	2.72702446268688	2.76116210508033	2.65824564019079	2.68030675674894	2.93945131202888	2.61501215645662	2.9422590141172	2.9609194105253	3.09298654828148	2.56535136783239	3.31154153166591	3.43793665742102	3.19757153456652	3.11779625231838	3.18192403753009	3.53908540648904	2.96827133722526	3.21053205961828	3.14350822626059	2.79983345603377	3.04766485855216	3.15095414179621	3.2328265712632	3.38573655207732	2.81250257846336	3.89575448499082	3.37144738545475	3.51527327058492	3.29201915537144	3.12304559678752	3.40033445899357	3.67781921600648
YLR147C	4.35741050110396	3.80069488154703	3.82998520514074	3.90038856232423	4.2081582386446	3.9733147568359	3.97814740552898	3.95013262927782	4.00609968285958	4.19264621385083	3.91759808033325	4.26594231321956	4.30262781593248	4.11766098504287	4.38307287637327	4.46168251561704	4.37854678838176	4.32047893585577	4.27433537796629	4.29673450766001	4.11898335932943	4.15394537687031	4.08887866918258	4.21380999042322	4.10923830700387	4.30165091463159	4.33483890760231	4.41955669350653	4.11157612066887	4.73808008276779	4.32949566502506	4.35245376383228	4.34642388685768	4.17621743558816	4.34666809095358	4.45962601248471
YLR148W	5.40269206781577	5.11443812356118	4.45668954690478	5.0110405392319	5.00720354903597	4.99331112153977	5.01957734494569	4.95344884682986	5.10447147516485	5.30149647135829	5.43295586763538	5.32220186299473	5.51312434323636	5.46414711728509	5.23938015707047	5.45414589904815	5.34561751686121	5.23099560503663	5.2224057593738	4.92033506831767	5.0580693610037	5.14184730938487	5.14273438673627	5.11388530035227	5.05748073473955	5.09135408615213	5.3145887781771	5.10438172110838	5.30546352793127	5.20714301799436	5.19209881311455	5.26814803263947	5.30995236801227	5.28715436330539	5.17578510866846	5.05615590436886
YLR149C	5.43587445669359	6.22884226332713	6.32448913166202	4.82658914793921	3.55882707862212	2.91441061758386	2.6846564894234	2.69542215422563	2.74419554120135	2.8927915158201	2.70572811427311	2.79814301472787	3.04057948069156	3.13959881757417	3.02086030936874	3.25708154430263	3.06466628575636	3.44528221204515	3.59930044336873	3.42740457153088	3.51943712494293	3.52316298724077	3.53771806507265	3.76254017009383	3.70000976427034	3.69787930254576	4.11315570862272	3.90273735199316	3.95394881024251	3.86686802197571	3.68809303597807	3.89703289717302	4.00995501183732	3.90658498505764	3.87936890006288	3.7818946937638
YLR149C-A	2.53849175042468	1.74349664128005	-0.51971796365781	1.50954516250375	2.13354484342495	2.0647190630896	2.09479986670984	1.72439428735791	1.94267399313901	1.92884620096275	1.33371086138363	1.86093481502087	2.15502292650383	0.688800268774724	2.33050946482192	2.7039122846739	2.33042745797006	2.3985911856924	2.07816377152851	2.23177410159293	1.68839021800527	2.01095240915982	1.81083538479073	2.13340663806988	2.08365889526962	2.13306510317936	2.17464109019239	2.19504519144971	1.29090269127746	1.51639281058999	1.67399206177419	1.89400950253986	1.74525311239946	1.88623019868043	1.94172859258807	1.65567334154521
YLR150W	10.790936785929	10.407355890479	10.5172248310788	10.5025458726601	10.6499783371217	10.6893410886403	10.711216201061	10.7751560327648	10.7532193784923	10.7103559113625	10.8177871251718	10.9299389328215	11.0069008109647	11.0132593030162	11.0648482478661	11.2499932785158	11.1790534848121	11.1706705428575	11.2095372262958	11.1444696998062	11.0190797317765	11.048204082886	11.0240496832585	10.9438911787977	11.0269524597904	11.0145977401842	10.8553042276292	11.0180336777855	10.9712922360098	11.0887939667676	10.9551210548973	10.9555232130114	10.8636272034322	10.8221811858067	10.8257231521122	10.837727582153
YLR151C	3.19237599750759	3.21041303447625	3.37633814093059	3.34764932505549	3.35747039055804	3.87712962774276	4.13959329984404	3.95013262927782	3.64030275544206	3.69705164487751	3.23718758512864	3.3781150352116	3.34714434017052	3.02499574710227	3.0792968107566	3.14941111376837	3.31145843947307	3.35544083160283	3.49358786286702	3.61520000994523	3.23359936182725	3.64297090315497	3.50947533007962	3.79782337255305	3.201430841061	3.40168607290239	3.53961536375335	3.49191831402664	3.55595117673044	3.27011798215572	3.55270481154681	3.29180991119593	3.58561265069352	3.80421231440743	3.46861864593118	3.69432769273377
